date,side,trigger_idx,best_toward_pivot_coord,before_max_away_from_pivot,after_max_away_from_pivot,full_day_max_away_from_pivot
2011-07-11,BUY,3,0.09876543209877707,0.33487654320985466,3.6203703703703756,3.6203703703703756
2011-07-12,BUY,0,-0.20190318576748004,0.2896152254861408,1.5395117914770382,1.5395117914770382
2011-07-13,SELL,58,-0.11578513248788715,0.23270440251572497,0.4399422620888727,0.4399422620888727
2011-07-14,SELL,0,0.20372481946028825,0.3128088179399459,0.5334473584188527,0.5334473584188527
2011-07-15,BUY,1,0.15132766176849713,0.2392369167311217,0.6151069863366806,0.6151069863366806
2011-07-18,BUY,0,-0.0585996955860296,0.8302891933029314,2.4901065449011583,2.4901065449011583
2011-07-19,SELL,0,0.15931142410014804,0.30359937402191395,0.9111111111111224,0.9111111111111224
2011-07-20,SELL,0,0.2008771929824678,0.34298245614034295,0.5447368421052586,0.5447368421052586
2011-07-21,SELL,0,0.8627450980391914,0.27725490196079017,1.2831372549019613,1.2831372549019613
2011-07-22,SELL,0,0.2081505847953211,0.294042397660818,0.5089546783625705,0.5089546783625705
2011-07-25,SELL,1,1.9517543859649005,0.29166666666667057,1.29495614035085,1.29495614035085
2011-07-26,BUY,4,1.0249915569064596,0.27592029719688244,0.27592029719688244,0.27592029719688244
2011-07-27,BUY,24,0.0012980269989493385,0.276739356178622,0.8912253374870382,0.8912253374870382
2011-07-28,BUY,2,-0.1682333092311458,0.3309231140033765,1.086526873945535,1.086526873945535
2011-07-29,BUY,8,-0.022047244094492824,0.22834645669291903,0.8606299212598479,0.8606299212598479
2011-08-01,SELL,1,2.3647863247863046,0.45880341880341435,1.2618803418803317,1.2618803418803317
2011-08-02,BUY,26,-0.1072775263951739,0.22746983408748075,0.38244720965309204,0.38244720965309204
2011-08-03,BUY,0,0.4924874791318901,0.3082915971062899,0.4897050639955464,0.4897050639955464
2011-08-04,SELL,0,-0.15429650613786725,0.2766761095372972,2.2568460812086872,2.2568460812086872
2011-08-05,BUY,0,0.08533189616455866,0.23021647354711122,0.4414802838408343,0.4414802838408343
2011-08-08,BUY,0,0.2078166102968904,0.3051484404359146,2.7279218338970193,2.7279218338970193
2011-08-09,BUY,11,0.2040450588837697,0.6231438812084005,0.5751408090117799,0.6231438812084005
2011-08-10,BUY,25,0.118074899411947,0.23011451562983404,0.9770968740327991,0.9770968740327991
2011-08-11,BUY,0,0.25351386202449466,0.25944551901999147,0.4675693101225107,0.4675693101225107
2011-08-12,BUY,28,0.27467811158797484,0.29989270386266653,0.3063304721030101,0.3063304721030101
2011-08-15,SELL,15,-0.0023068050749739722,1.083621683967702,2.4331026528258284,2.4331026528258284
2011-08-16,SELL,0,0.3003558718861288,0.26975088967970845,0.3750889679715307,0.3750889679715307
2011-08-17,BUY,0,0.5005268703898716,0.3572181243414209,0.7439409905163266,0.7439409905163266
2011-08-18,SELL,33,1.0143945808636714,0.23624047417443791,0.23624047417443791,0.23624047417443791
2011-08-19,BUY,16,0.29113067027759354,0.3006093432633631,0.5551794177386534,0.5551794177386534
2011-08-22,SELL,0,0.9635108481262415,0.41222879684414987,1.7287968441813764,1.7287968441813764
2011-08-23,SELL,30,0.4282051282051495,0.3498168498168453,0.6970695970695809,0.6970695970695809
2011-08-24,SELL,2,0.47623697916666885,0.25032552083333026,0.5237630208333311,0.5237630208333311
2011-08-25,SELL,0,0.14029947916667496,0.4007161458333266,0.8743489583333256,0.8743489583333256
2011-08-26,SELL,0,1.0632017965992995,0.24382418992620783,0.36220725056142467,0.36220725056142467
2011-08-29,SELL,0,0.5582329317268696,0.2811244979919869,3.1686746987951238,3.1686746987951238
2011-08-30,BUY,24,0.07830459770114462,0.22665229885057708,1.1900143678160884,1.1900143678160884
2011-08-31,BUY,0,-0.11703821656050266,0.2492038216560415,0.8606687898089082,0.8606687898089082
2011-09-01,SELL,4,0.8547466095645976,0.43326195574590154,0.6645253390435403,0.6645253390435403
2011-09-02,BUY,0,-0.1223866572703653,0.2957481794690937,0.8482499412731865,0.8482499412731865
2011-09-05,BUY,0,0.1331861662987191,0.2685798381163067,1.584253127299539,1.584253127299539
2011-09-06,BUY,0,1.9721508140531527,0.2849185946872319,0.7514995715509896,0.7514995715509896
2011-09-07,BUY,14,0.13559855277646832,0.23533113103664505,0.24854491112159352,0.24854491112159352
2011-09-08,SELL,27,1.4873054873055023,0.24488124488124077,0.33701883701883717,0.33701883701883717
2011-09-09,BUY,0,-0.07003367003366952,0.24915824915825233,1.8902356902356925,1.8902356902356925
2011-09-12,BUY,17,0.3758941344778151,0.33118741058656737,1.6080114449213259,1.6080114449213259
2011-09-13,SELL,7,0.30521002343609316,0.23940868938164778,0.3194519560122567,0.3194519560122567
2011-09-14,SELL,0,0.4585858585858618,0.2548340548340492,0.43318903318903,0.43318903318903
2011-09-15,SELL,3,0.1074433656957999,0.3216828478964397,1.731391585760514,1.731391585760514
2011-09-16,BUY,32,0.09151707145372003,0.24322421682505427,0.34406898979232037,0.34406898979232037
2011-09-19,BUY,4,-0.1516990291262312,0.360436893203898,1.7997572815534073,1.7997572815534073
2011-09-20,BUY,8,0.40293296089384295,0.2667597765363259,0.4343575418994505,0.4343575418994505
2011-09-21,SELL,5,0.8087294968028824,0.4364748401445716,0.580761745899369,0.580761745899369
2011-09-22,BUY,0,0.018407362945166483,0.23669467787115883,1.2787114845938523,1.2787114845938523
2011-09-23,BUY,41,0.25111830942465335,0.30279191732222405,0.4360635508252303,0.4360635508252303
2011-09-26,SELL,0,2.816725978647696,0.320284697508885,0.320284697508885,0.320284697508885
