pair,buy_tp_above_yh_pips,sell_tp_after_buytp_below_yh_pips,sell_sl_above_yh_pips,shared_selltp_buysl_offset_from_yl_pips,traded_days,total_pips,raw_pips_per_day,total_weighted_pips,weighted_pips_per_day_per_100_units
EURJPY,15,5,200,-20,55,-358.5,-0.4911,-51459.0,-0.7049
EURJPY,15,5,200,-10,55,-213.5,-0.2925,-26294.0,-0.3602
EURJPY,15,5,200,0,55,-293.5,-0.4021,-33463.0,-0.4584
EURJPY,15,5,200,10,55,-353.5,-0.4842,-41626.0,-0.5702
EURJPY,15,5,200,20,55,-493.5,-0.676,-53961.0,-0.7392
EURJPY,15,5,250,-20,55,-438.3,-0.6004,-61833.0,-0.847
EURJPY,15,5,250,-10,55,-243.3,-0.3333,-30168.0,-0.4133
EURJPY,15,5,250,0,55,-323.3,-0.4429,-37337.0,-0.5115
EURJPY,15,5,250,10,55,-383.3,-0.5251,-45500.0,-0.6233
EURJPY,15,5,250,20,55,-523.3,-0.7168,-57835.0,-0.7923
EURJPY,15,5,300,-20,55,-490.0,-0.6712,-68554.0,-0.9391
EURJPY,15,5,300,-10,55,-245.0,-0.3356,-30389.0,-0.4163
EURJPY,15,5,300,0,55,-325.0,-0.4452,-37558.0,-0.5145
EURJPY,15,5,300,10,55,-385.0,-0.5274,-45721.0,-0.6263
EURJPY,15,5,300,20,55,-525.0,-0.7192,-58056.0,-0.7953
EURJPY,15,5,350,-20,55,-540.0,-0.7397,-75054.0,-1.0281
EURJPY,15,5,350,-10,55,-245.0,-0.3356,-30389.0,-0.4163
EURJPY,15,5,350,0,55,-325.0,-0.4452,-37558.0,-0.5145
EURJPY,15,5,350,10,55,-385.0,-0.5274,-45721.0,-0.6263
EURJPY,15,5,350,20,55,-525.0,-0.7192,-58056.0,-0.7953
EURJPY,15,5,400,-20,55,-590.0,-0.8082,-81554.0,-1.1172
EURJPY,15,5,400,-10,55,-245.0,-0.3356,-30389.0,-0.4163
EURJPY,15,5,400,0,55,-325.0,-0.4452,-37558.0,-0.5145
EURJPY,15,5,400,10,55,-385.0,-0.5274,-45721.0,-0.6263
EURJPY,15,5,400,20,55,-525.0,-0.7192,-58056.0,-0.7953
EURJPY,15,10,150,-20,55,-525.0,-0.7192,-73104.0,-1.0014
EURJPY,15,10,150,-10,55,-440.0,-0.6027,-55739.0,-0.7635
EURJPY,15,10,150,0,55,-220.0,-0.3014,-23908.0,-0.3275
EURJPY,15,10,150,10,55,-295.0,-0.4041,-34021.0,-0.466
EURJPY,15,10,150,20,55,-470.0,-0.6438,-50906.0,-0.6973
EURJPY,15,10,200,-20,55,-1013.5,-1.3884,-136609.0,-1.8714
EURJPY,15,10,200,-10,55,-878.5,-1.2034,-112744.0,-1.5444
EURJPY,15,10,200,0,55,-558.5,-0.7651,-67913.0,-0.9303
EURJPY,15,10,200,10,55,-633.5,-0.8678,-78026.0,-1.0688
EURJPY,15,10,200,20,55,-808.5,-1.1075,-94911.0,-1.3002
EURJPY,15,10,250,-20,55,-1104.4,-1.5129,-148426.0,-2.0332
EURJPY,15,10,250,-10,55,-919.4,-1.2595,-118061.0,-1.6173
EURJPY,15,10,250,0,55,-592.5,-0.8116,-72333.0,-0.9909
EURJPY,15,10,250,10,55,-667.5,-0.9144,-82446.0,-1.1294
EURJPY,15,10,250,20,55,-842.5,-1.1541,-99331.0,-1.3607
EURJPY,15,10,300,-20,55,-1205.4,-1.6512,-161556.0,-2.2131
EURJPY,15,10,300,-10,55,-970.4,-1.3293,-124691.0,-1.7081
EURJPY,15,10,300,0,55,-644.2,-0.8825,-79054.0,-1.0829
EURJPY,15,10,300,10,55,-719.2,-0.9852,-89167.0,-1.2215
EURJPY,15,10,300,20,55,-894.2,-1.2249,-106052.0,-1.4528
EURJPY,15,10,350,-20,55,-1246.6,-1.7077,-166912.0,-2.2865
EURJPY,15,10,350,-10,55,-961.6,-1.3173,-123547.0,-1.6924
EURJPY,15,10,350,0,55,-635.4,-0.8704,-77910.0,-1.0673
EURJPY,15,10,350,10,55,-710.4,-0.9732,-88023.0,-1.2058
EURJPY,15,10,350,20,55,-885.4,-1.2129,-104908.0,-1.4371
EURJPY,15,10,400,-20,55,-1296.6,-1.7762,-173412.0,-2.3755
EURJPY,15,10,400,-10,55,-961.6,-1.3173,-123547.0,-1.6924
EURJPY,15,10,400,0,55,-635.4,-0.8704,-77910.0,-1.0673
EURJPY,15,10,400,10,55,-710.4,-0.9732,-88023.0,-1.2058
EURJPY,15,10,400,20,55,-885.4,-1.2129,-104908.0,-1.4371
EURJPY,15,15,150,-20,55,-360.0,-0.4932,-51654.0,-0.7076
EURJPY,15,15,150,-10,55,-285.0,-0.3904,-35589.0,-0.4875
EURJPY,15,15,150,0,55,-75.0,-0.1027,-5058.0,-0.0693
EURJPY,15,15,150,10,55,-165.0,-0.226,-17121.0,-0.2345
EURJPY,15,15,150,20,55,-375.0,-0.5137,-38556.0,-0.5282
EURJPY,15,15,200,-20,55,-848.5,-1.1623,-115159.0,-1.5775
EURJPY,15,15,200,-10,55,-723.5,-0.9911,-92594.0,-1.2684
EURJPY,15,15,200,0,55,-413.5,-0.5664,-49063.0,-0.6721
EURJPY,15,15,200,10,55,-503.5,-0.6897,-61126.0,-0.8373
EURJPY,15,15,200,20,55,-713.5,-0.9774,-82561.0,-1.131
