buy_tp_above_yh_pips,sell_sl_above_yh_pips,sell_tp_after_buy_below_yh_pips,above_pivot_days,closed_legs,weighted_total_pips,weighted_buy_pips,weighted_sell_pips,cal_ppd_weighted
30,100,20,3430,6860,-8511.043,-7798.7,-712.343,-1.2071
100,250,10,3430,6860,-8518.774,-5780.4,-2738.374,-1.2082
100,250,20,3430,6860,-8522.838,-5780.4,-2742.438,-1.2087
100,250,75,3430,6860,-8524.489,-5780.4,-2744.089,-1.209
75,400,100,3430,6860,-8537.156,-6374.6,-2162.556,-1.2108
125,250,10,3430,6860,-8550.423,-5356.5,-3193.923,-1.2127
125,250,0,3430,6860,-8552.963,-5356.5,-3196.463,-1.213
75,300,75,3430,6860,-8553.666,-6374.6,-2179.066,-1.2131
75,250,40,3430,6860,-8565.223,-6374.6,-2190.623,-1.2148
125,250,20,3430,6860,-8573.283,-5356.5,-3216.783,-1.2159
10,50,20,3430,6860,-8578.754,-7943.5,-635.254,-1.2167
20,100,50,3430,6860,-8581.092,-6651.2,-1929.892,-1.217
75,250,75,3430,6860,-8653.488,-6374.6,-2278.888,-1.2273
40,50,100,3430,6860,-8659.05,-8894.0,234.95,-1.2281
75,300,100,3430,6860,-8666.696,-6374.6,-2292.096,-1.2291
75,150,100,3430,6860,-8667.966,-6374.6,-2293.366,-1.2293
20,100,40,3430,6860,-8682.946,-6651.2,-2031.746,-1.2314
10,100,75,3430,6860,-8743.219,-7943.5,-799.719,-1.24
150,200,100,3430,6860,-8763.49,-4855.7,-3907.79,-1.2429
40,100,30,3430,6860,-8807.005,-8894.0,86.995,-1.249
50,150,10,3430,6860,-8824.167,-7157.8,-1666.367,-1.2515
75,200,30,3430,6860,-8839.035,-6374.6,-2464.435,-1.2536
0,50,40,3430,6860,-8844.919,-9785.1,940.181,-1.2544
40,400,0,3430,6860,-8847.137,-8894.0,46.863,-1.2547
50,100,50,3430,6860,-8849.44,-7157.8,-1691.64,-1.2551
75,250,100,3430,6860,-8858.085,-6374.6,-2483.485,-1.2563
150,200,75,3430,6860,-8858.74,-4855.7,-4003.04,-1.2564
50,400,0,3430,6860,-8876.999,-7157.8,-1719.199,-1.259
40,250,0,3430,6860,-8879.649,-8894.0,14.351,-1.2593
50,100,100,3430,6860,-8891.096,-7157.8,-1733.296,-1.261
50,250,0,3430,6860,-8909.511,-7157.8,-1751.711,-1.2636
150,200,50,3430,6860,-8953.99,-4855.7,-4098.29,-1.2699
40,100,20,3430,6860,-8970.2,-8894.0,-76.2,-1.2722
40,300,0,3430,6860,-8976.677,-8894.0,-82.677,-1.2731
50,100,40,3430,6860,-8979.996,-7157.8,-1822.196,-1.2736
150,200,40,3430,6860,-8992.09,-4855.7,-4136.39,-1.2753
10,400,100,3430,6860,-8992.139,-7943.5,-1048.639,-1.2753
50,300,0,3430,6860,-9006.539,-7157.8,-1848.739,-1.2773
30,100,75,3430,6860,-9024.758,-7798.7,-1226.058,-1.2799
150,200,30,3430,6860,-9030.19,-4855.7,-4174.49,-1.2807
40,150,10,3430,6860,-9038.145,-8894.0,-144.145,-1.2818
75,200,0,3430,6860,-9048.458,-6374.6,-2673.858,-1.2833
20,100,10,3430,6860,-9053.913,-6651.2,-2402.713,-1.2841
30,150,0,3430,6860,-9056.762,-7798.7,-1258.062,-1.2845
150,200,20,3430,6860,-9068.29,-4855.7,-4212.59,-1.2861
20,150,30,3430,6860,-9106.618,-6651.2,-2455.418,-1.2915
150,200,10,3430,6860,-9106.39,-4855.7,-4250.69,-1.2915
50,150,30,3430,6860,-9110.806,-7157.8,-1953.006,-1.2921
10,300,100,3430,6860,-9121.679,-7943.5,-1178.179,-1.2937
10,150,100,3430,6860,-9122.949,-7943.5,-1179.449,-1.2939
30,100,100,3430,6860,-9134.994,-7798.7,-1336.294,-1.2956
150,200,0,3430,6860,-9144.49,-4855.7,-4288.79,-1.2969
125,200,100,3430,6860,-9179.835,-5356.5,-3823.335,-1.3019
20,400,50,3430,6860,-9191.962,-6651.2,-2540.762,-1.3036
50,400,10,3430,6860,-9199.706,-7157.8,-2041.906,-1.3047
125,200,75,3430,6860,-9221.618,-5356.5,-3865.118,-1.3078
75,200,20,3430,6860,-9243.403,-6374.6,-2868.803,-1.3109
0,50,50,3430,6860,-9263.511,-9785.1,521.589,-1.3138
20,150,50,3430,6860,-9276.798,-6651.2,-2625.598,-1.3157
30,150,30,3430,6860,-9279.393,-7798.7,-1480.693,-1.316
20,300,50,3430,6860,-9289.752,-6651.2,-2638.552,-1.3175
20,200,100,3430,6860,-9290.514,-6651.2,-2639.314,-1.3176
50,400,75,3430,6860,-9311.974,-7157.8,-2154.174,-1.3207
10,250,100,3430,6860,-9313.068,-7943.5,-1369.568,-1.3208
20,100,0,3430,6860,-9319.597,-6651.2,-2668.397,-1.3217
50,150,75,3430,6860,-9319.467,-7157.8,-2161.667,-1.3217
50,150,20,3430,6860,-9320.864,-7157.8,-2163.064,-1.3219
75,200,10,3430,6860,-9321.762,-6374.6,-2947.162,-1.322
100,200,30,3430,6860,-9326.24,-5780.4,-3545.84,-1.3227
