date,side,entry,pp,r2,s2,norm_entry_dist_r2s2,adverse_norm_from_entry,extreme_norm_from_pivot,outcome,pips,bars_held
2012-02-27,SELL,109.725,109.58999999999999,110.448,108.73199999999999,0.15734265734266256,0.0,0.15734265734266256,WIN,12.500000000000512,1
2012-02-28,BUY,107.886,108.26966666666665,110.81666666666665,105.72266666666665,0.1506347336735989,0.22811150372987418,0.3787462374034731,LOSS,-39.366666666665594,5
2012-02-29,SELL,108.468,108.16199999999999,109.61199999999998,106.712,0.21103448275863035,0.1751724137930984,0.38620689655172874,WIN,29.60000000000116,23
2012-03-01,SELL,108.301,108.30066666666666,109.14366666666665,107.45766666666667,0.00039541320681423854,0.0,0.00039541320681423854,WIN,-0.9666666666655601,1
2012-03-02,SELL,108.057,108.031,108.69000000000001,107.372,0.039453717754166936,0.3626707132018242,0.4021244309559911,LOSS,-3.599999999999625,1
2012-03-03,BUY,107.93,107.99466666666666,108.87266666666666,107.11666666666666,0.07365223993924068,0.135535307517084,0.2091875474563247,LOSS,-7.466666666665333,184
2012-03-05,BUY,107.611,107.75266666666666,108.19566666666665,107.30966666666666,0.3197893152746099,0.0,0.3197893152746099,WIN,13.16666666666515,4
2012-03-06,SELL,107.813,107.58033333333333,108.67133333333332,106.48933333333333,0.21326000611060972,0.04124656278643626,0.254506568897046,WIN,22.26666666666739,6
2012-03-07,BUY,105.795,106.432,108.653,104.211,0.28680774425934236,0.031067086897794912,0.31787483115713727,WIN,62.700000000000045,64
2012-03-08,SELL,106.903,106.50533333333334,107.71433333333334,105.29633333333334,0.32892197408326296,0.358974358974356,0.6878963330576189,LOSS,-40.766666666666595,34
2012-03-09,SELL,108.286,107.79866666666668,109.60266666666666,105.99466666666669,0.2701404286770112,0.20232815964523135,0.4724685883222426,WIN,47.733333333332496,25
2012-03-10,BUY,108.11,108.18566666666665,109.14766666666665,107.22366666666665,0.07865557865556003,0.14760914760914284,0.22626472626470287,LOSS,-8.5666666666649,182
2012-03-12,BUY,108.061,108.10533333333335,108.42133333333335,107.78933333333335,0.1402953586498132,0.569620253164574,0.7099156118143872,LOSS,-5.433333333334133,1
2012-03-13,SELL,108.476,108.16699999999999,109.17199999999998,107.16199999999999,0.30746268656717723,0.1741293532338288,0.481592039801006,WIN,29.90000000000117,21
2012-03-14,SELL,108.494,108.36599999999999,109.20599999999997,107.526,0.15238095238097138,0.19047619047618886,0.34285714285716024,LOSS,-13.800000000001432,1
2012-03-15,SELL,109.152,108.96600000000001,109.96000000000001,107.97200000000001,0.1871227364185039,0.24547283702213263,0.43259557344063654,LOSS,-19.599999999999284,1
