pair,date,regime,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
EURJPY,2016-05-26,ABOVE,BUY1,BUY,100.0,122.853,122.523,SL,-33.0,-3300.0,98064,98064
EURJPY,2016-05-26,ABOVE,SELL1,SELL,130.0,122.853,122.523,TP,33.0,4290.0,98064,98064
EURJPY,2016-05-27,ABOVE,BUY1,BUY,100.0,122.781,122.26,SL,-52.1,-5210.0,98088,98100
EURJPY,2016-05-27,ABOVE,SELL1,SELL,130.0,122.781,122.26,TP,52.1,6773.0,98088,98100
EURJPY,2016-05-28,BELOW,SELL1,SELL,100.0,122.471,123.082,SL,-61.1,-6110.0,98112,98158
EURJPY,2016-05-28,BELOW,BUY1,BUY,130.0,122.471,123.082,TP,61.1,7943.0,98112,98158
EURJPY,2016-05-30,ABOVE,BUY1,BUY,100.0,123.052,123.34400000000001,TP,29.2,2920.0,98160,98164
EURJPY,2016-05-30,ABOVE,SELL1,SELL,130.0,123.052,122.944,TP,10.8,1404.0,98160,98208
EURJPY,2016-05-31,ABOVE,BUY1,BUY,100.0,123.561,124.09700000000001,TP,53.6,5360.0,98184,98187
EURJPY,2016-05-31,ABOVE,SELL1,SELL,130.0,123.561,123.697,TP,-13.6,-1768.0,98184,98191
EURJPY,2016-06-01,BELOW,SELL1,SELL,100.0,123.182,122.77499999999999,TP,40.7,4070.0,98208,98213
EURJPY,2016-06-01,BELOW,BUY1,BUY,130.0,123.182,119.975,SL,-320.7,-41691.0,98208,98442
EURJPY,2016-06-02,BELOW,SELL1,SELL,100.0,122.465,121.697,TP,76.8,7680.0,98232,98244
EURJPY,2016-06-02,BELOW,BUY1,BUY,130.0,122.465,122.09700000000001,TP,-36.8,-4784.0,98232,98346
EURJPY,2016-06-03,BELOW,SELL1,SELL,100.0,121.403,120.86,TP,54.3,5430.0,98256,98272
EURJPY,2016-06-03,BELOW,BUY1,BUY,130.0,121.403,121.26,TP,-14.3,-1859.0,98256,98327
EURJPY,2016-06-04,BELOW,SELL1,SELL,100.0,121.075,121.675,SL,-60.0,-6000.0,98280,98335
EURJPY,2016-06-04,BELOW,BUY1,BUY,130.0,121.075,121.675,TP,60.0,7800.0,98280,98335
EURJPY,2016-06-06,ABOVE,BUY1,BUY,100.0,121.092,121.462,TP,37.0,3700.0,98328,98331
EURJPY,2016-06-06,ABOVE,SELL1,SELL,130.0,121.092,121.062,TP,3.0,390.0,98328,98407
EURJPY,2016-06-07,ABOVE,BUY1,BUY,100.0,122.098,122.531,TP,43.3,4330.0,98352,98360
