seed,days,cal_ppd,total_pips,wins,losses,time_exits
112,7038,-1.7121284981153153,-12049.960369735589,1043,1672,4323
113,7038,-0.29380259836028866,-2067.7826872597116,1078,1648,4312
114,7038,-3.1807397087503437,-22386.04607018492,1003,1740,4295
115,7038,0.27810122589374103,1957.2764278401494,1113,1601,4324
116,7038,-0.2737575583107586,-1926.705695391119,1118,1629,4291
117,7038,-0.13401377908257905,-943.1889771831915,1123,1601,4314
118,7038,-0.500970411123508,-3525.82975348725,1110,1620,4308
119,7038,-1.2123148554435204,-8532.271952611496,1100,1629,4309
120,7038,-0.284084899021539,-1999.3895193135916,1072,1631,4335
121,7038,-0.677022075519305,-4764.881367504869,1066,1654,4318
122,7038,-0.2776120486882495,-1953.8335986679,1116,1620,4302
123,7038,-0.8886859769067083,-6254.571905469413,1098,1630,4310
124,7038,-0.0861277632849468,-606.1671979994555,1108,1603,4327
125,7038,-1.6350990361821562,-11507.827016650015,1062,1657,4319
126,7038,0.29911722177814437,2105.18700687458,1104,1628,4306
127,7038,-0.5134010101645871,-3613.3163095383634,1090,1618,4330
128,7038,-0.5204883917229383,-3663.19730094604,1076,1646,4316
129,7038,1.129417363609297,7948.839405082233,1137,1561,4340
130,7038,-0.4976608430097732,-3502.537013102784,1086,1611,4341
131,7038,-0.2406672885995263,-1693.816377163466,1106,1623,4309
132,7038,-0.36571358417397615,-2573.892205416444,1091,1627,4320
133,7038,-1.2387999784569352,-8718.67424837991,1047,1664,4327
134,7038,-1.5450568767246848,-10874.110298388332,1065,1659,4314
135,7038,-0.6083090524018206,-4281.279110804014,1085,1630,4323
136,7038,-0.8848595783947534,-6227.641712742275,1089,1653,4296
137,7038,-0.5234746719383933,-3684.2147411024116,1094,1631,4313
138,7038,-1.5424416660090967,-10855.704445372023,1059,1677,4302
139,7038,-0.31050142592689556,-2185.309035673491,1087,1638,4313
140,7038,-0.00998713270442209,-70.28943997372266,1119,1593,4326
141,7038,0.24935189513573883,1754.93863796533,1100,1583,4355
142,7038,-0.6136540925899433,-4318.897503648021,1091,1649,4298
143,7038,-0.488795842698945,-3440.145140915175,1082,1623,4333
144,7038,-0.8161830479362545,-5744.296291375359,1105,1635,4298
145,7038,0.6899292559235669,4855.7221031900635,1106,1582,4350
146,7038,-0.660594490513498,-4649.2640242339985,1118,1618,4302
147,7038,-0.9604379098060976,-6759.562009215315,1069,1641,4328
148,7038,0.24229589638645557,1705.2785187678744,1107,1610,4321
149,7038,-0.885901137108076,-6234.972202966639,1071,1633,4334
150,7038,-1.4372608646945781,-10115.441965720442,1064,1649,4325
151,7038,-0.15752420457629804,-1108.6553518079857,1101,1585,4352
152,7038,-0.9889413649714434,-6960.169326669018,1097,1654,4287
153,7038,-0.765828504604074,-5389.901015403473,1093,1629,4316
154,7038,-0.4507203819285354,-3172.170048013032,1092,1616,4330
