pair,date,regime,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
USDJPY,2019-01-09,BELOW,SELL1,SELL,100.0,108.752,108.241,TP,51.1,5110.0,135216,135231
USDJPY,2019-01-09,BELOW,BUY1,BUY,130.0,108.752,108.641,TP,-11.1,-1443.0,135216,135365
USDJPY,2019-01-09,BELOW,BUY2,BUY,130.0,108.087,108.641,TP,55.4,7202.0,135231,135365
USDJPY,2019-01-10,BELOW,SELL1,SELL,100.0,108.184,107.771,TP,41.3,4130.0,135240,135246
USDJPY,2019-01-10,BELOW,BUY1,BUY,130.0,108.184,108.171,TP,-1.3,-169.0,135240,135250
USDJPY,2019-01-10,BELOW,BUY2,BUY,130.0,108.001,108.171,TP,17.0,2210.0,135246,135250
USDJPY,2019-01-11,ABOVE,BUY1,BUY,100.0,108.284,108.718,TP,43.4,4340.0,135264,135365
USDJPY,2019-01-11,ABOVE,SELL1,SELL,130.0,108.284,109.256,TIME_EXIT,-97.2,-12636.0,135264,135695
USDJPY,2019-01-11,ABOVE,SELL2,SELL,130.0,108.769,109.256,TIME_EXIT,-48.7,-6331.0,135394,135695
USDJPY,2019-01-12,ABOVE,BUY1,BUY,100.0,108.528,108.145,SL,-38.3,-3830.0,135288,135339
USDJPY,2019-01-12,ABOVE,SELL1,SELL,130.0,108.528,108.145,TP,38.3,4979.0,135288,135339
USDJPY,2019-01-14,BELOW,SELL1,SELL,100.0,108.451,108.195,TP,25.6,2560.0,135336,135337
USDJPY,2019-01-14,BELOW,BUY1,BUY,130.0,108.451,108.595,TP,14.4,1872.0,135336,135365
USDJPY,2019-01-15,ABOVE,BUY1,BUY,100.0,108.236,108.681,TP,44.5,4450.0,135360,135365
USDJPY,2019-01-15,ABOVE,SELL1,SELL,130.0,108.236,109.504,TIME_EXIT,-126.8,-16484.0,135360,135791
USDJPY,2019-01-15,ABOVE,SELL2,SELL,130.0,108.986,109.504,TIME_EXIT,-51.8,-6734.0,135401,135791
USDJPY,2019-01-16,ABOVE,BUY1,BUY,100.0,108.653,108.965,TP,31.2,3120.0,135384,135401
USDJPY,2019-01-16,ABOVE,SELL1,SELL,130.0,108.653,108.565,TP,8.8,1144.0,135384,135753
USDJPY,2019-01-16,ABOVE,SELL2,SELL,130.0,109.196,108.565,TP,63.1,8203.0,135427,135753
USDJPY,2019-01-17,ABOVE,BUY1,BUY,100.0,109.041,109.395,TP,35.4,3540.0,135408,135427
USDJPY,2019-01-17,ABOVE,SELL1,SELL,130.0,109.041,108.99499999999999,TP,4.6,598.0,135408,135739
USDJPY,2019-01-17,ABOVE,SELL2,SELL,130.0,109.37,108.99499999999999,TP,37.5,4875.0,135427,135739
USDJPY,2019-01-18,ABOVE,BUY1,BUY,100.0,109.145,109.598,TP,45.3,4530.0,135432,135447
USDJPY,2019-01-18,ABOVE,SELL1,SELL,130.0,109.145,109.198,TP,-5.3,-689.0,135432,135546
USDJPY,2019-01-18,ABOVE,SELL2,SELL,130.0,109.686,109.198,TP,48.8,6344.0,135447,135546
USDJPY,2019-01-19,ABOVE,BUY1,BUY,100.0,109.769,109.13,SL,-63.9,-6390.0,135456,135697
USDJPY,2019-01-19,ABOVE,SELL1,SELL,130.0,109.769,109.13,TP,63.9,8307.0,135456,135697
USDJPY,2019-01-21,BELOW,SELL1,SELL,100.0,109.68,109.456,TP,22.4,2240.0,135504,135531
