source,date,entry_px,exit_px,net_pips
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-01-31,134.84433,135.62451,77.0173
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-02-06,133.94,134.70681,75.6811
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-02-08,133.90333,134.65362,74.0289
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-02-11,135.91333,136.72609,80.2753
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-02-14,135.86067,136.55972,68.9054
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-02-15,136.03333,136.75135,70.8022
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-02-16,136.06333,136.79897,72.5634
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-02-18,137.68333,138.46258,76.9247
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-02-24,138.5,139.20884,69.8838
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-03-02,137.73,138.42273,68.273
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-03-03,137.61667,138.30217,67.5499
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-03-06,138.67,139.29434,61.4339
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-03-07,138.52133,139.11908,58.7748
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-03-08,138.74667,139.34462,58.7952
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-03-10,139.19333,139.85284,64.9509
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-03-11,139.57667,140.24627,65.9602
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-03-13,139.94,140.55418,60.4178
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-03-14,139.83133,140.41919,57.7858
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-03-17,139.49667,140.17136,66.4693
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-03-24,137.656,138.31402,64.8016
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-03-25,137.83933,138.5173,66.7965
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-03-27,137.792,138.40253,60.0526
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-03-28,137.87033,138.45298,57.2647
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-04-01,138.87967,139.52292,63.3253
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-04-02,138.93567,139.59349,64.7821
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-04-03,138.852,139.46283,60.0834
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-04-04,138.72933,139.31532,57.5988
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-04-05,139.036,139.62628,58.0282
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-04-06,139.18633,139.7689,57.2569
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-04-14,138.64667,139.26051,60.3838
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-04-15,138.61,139.21509,59.5093
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-04-18,138.96333,139.53192,55.8587
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-04-19,139.56667,140.17329,59.6623
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-04-20,139.64667,140.25741,60.0743
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-04-21,139.84,140.46432,61.4318
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-05-01,134.84,135.59412,74.4123
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-05-07,134.90933,135.6737,75.4363
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-05-08,134.81,135.53186,71.1856
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-05-09,134.86333,135.55963,68.6294
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-05-17,134.99667,135.68922,68.2557
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-05-25,135.24,135.83877,58.8767
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-06-08,131.03333,131.71207,66.8732
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-06-09,131.35333,132.04598,68.2651
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-06-10,131.35667,132.04924,68.2576
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-06-13,131.54333,132.15657,60.324
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-06-16,132.04667,132.78612,72.945
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-06-17,131.90667,132.6414,72.4732
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-06-24,131.19333,131.9777,77.4368
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-06-26,131.84,132.6055,75.5502
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-06-28,132.88333,133.63081,73.7475
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-06-29,132.80333,133.55722,74.3884
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-06-30,133.21667,133.9947,76.8035
buy_pp_s1_fixed_sl70_tp91_15m_eurjpy_ledger.csv,2005-07-05,132.94333,133.67809,72.4754
