entry_below_yh_pips,buy_tp_above_yh_pips,sell_buy_ratio,buy_size,sell_size,trade_days,filled_days,filled_day_rate,buy_wins,buy_losses,sell_wins,sell_losses,sell_time_exits,weighted_buy_pips,weighted_sell_pips,weighted_total_pips,cal_ppd_weighted
40,10,1.4,100.0,140.0,7051,3507,0.497376,1402,2089,1669,1822,3477,619810.0,-387912.0,231898.0,32.8887
40,20,1.6,100.0,160.0,7051,3507,0.497376,1338,2153,1669,1822,3477,662510.0,-443328.0,219182.0,31.0852
25,150,1.0,100.0,100.0,7051,3787,0.537087,1407,2356,1760,2003,3744,790250.0,-575400.0,214850.0,30.4709
30,100,1.0,100.0,100.0,7051,3704,0.525316,1366,2318,1725,1959,3666,916380.0,-711290.0,205090.0,29.0867
40,10,1.5,100.0,150.0,7051,3507,0.497376,1402,2089,1669,1822,3477,619810.0,-415620.0,204190.0,28.959
30,125,1.1,100.0,110.0,7051,3704,0.525316,1362,2322,1725,1959,3666,964030.0,-782419.0,181611.0,25.7568
40,10,1.6,100.0,160.0,7051,3507,0.497376,1402,2089,1669,1822,3477,619810.0,-443328.0,176482.0,25.0294
25,125,1.0,100.0,100.0,7051,3787,0.537087,1408,2355,1760,2003,3744,747290.0,-575400.0,171890.0,24.3781
30,150,1.2,100.0,120.0,7051,3704,0.525316,1362,2322,1725,1959,3666,1022280.0,-853548.0,168732.0,23.9302
25,150,1.1,100.0,110.0,7051,3787,0.537087,1407,2356,1760,2003,3744,790250.0,-632940.0,157310.0,22.3103
30,100,1.1,100.0,110.0,7051,3704,0.525316,1366,2318,1725,1959,3666,916380.0,-782419.0,133961.0,18.9989
30,75,1.0,100.0,100.0,7051,3704,0.525316,1374,2310,1725,1959,3666,843230.0,-711290.0,131940.0,18.7122
30,150,1.27,100.0,127.0,7051,3704,0.525316,1362,2322,1725,1959,3666,1022280.0,-903338.3,118941.7,16.8688
25,125,1.1,100.0,110.0,7051,3787,0.537087,1408,2355,1760,2003,3744,747290.0,-632940.0,114350.0,16.2176
30,125,1.2,100.0,120.0,7051,3704,0.525316,1362,2322,1725,1959,3666,964030.0,-853548.0,110482.0,15.669
25,150,1.2,100.0,120.0,7051,3787,0.537087,1407,2356,1760,2003,3744,790250.0,-690480.0,99770.0,14.1498
30,150,1.3,100.0,130.0,7051,3704,0.525316,1362,2322,1725,1959,3666,1022280.0,-924677.0,97603.0,13.8424
25,100,1.0,100.0,100.0,7051,3787,0.537087,1412,2351,1760,2003,3744,664550.0,-575400.0,89150.0,12.6436
30,100,1.2,100.0,120.0,7051,3704,0.525316,1366,2318,1725,1959,3666,916380.0,-853548.0,62832.0,8.9111
40,0,1.0,100.0,100.0,7051,3507,0.497376,1483,2008,1669,1822,3477,339220.0,-277080.0,62140.0,8.8129
30,75,1.1,100.0,110.0,7051,3704,0.525316,1374,2310,1725,1959,3666,843230.0,-782419.0,60811.0,8.6245
30,125,1.27,100.0,127.0,7051,3704,0.525316,1362,2322,1725,1959,3666,964030.0,-903338.3,60691.7,8.6075
25,150,1.27,100.0,127.0,7051,3787,0.537087,1407,2356,1760,2003,3744,790250.0,-730758.0,59492.0,8.4374
25,125,1.2,100.0,120.0,7051,3787,0.537087,1408,2355,1760,2003,3744,747290.0,-690480.0,56810.0,8.057
25,150,1.3,100.0,130.0,7051,3787,0.537087,1407,2356,1760,2003,3744,790250.0,-748020.0,42230.0,5.9892
30,125,1.3,100.0,130.0,7051,3704,0.525316,1362,2322,1725,1959,3666,964030.0,-924677.0,39353.0,5.5812
40,0,1.1,100.0,110.0,7051,3507,0.497376,1483,2008,1669,1822,3477,339220.0,-304788.0,34432.0,4.8833
25,100,1.1,100.0,110.0,7051,3787,0.537087,1412,2351,1760,2003,3744,664550.0,-632940.0,31610.0,4.4831
30,150,1.4,100.0,140.0,7051,3704,0.525316,1362,2322,1725,1959,3666,1022280.0,-995806.0,26474.0,3.7546
30,50,1.0,100.0,100.0,7051,3704,0.525316,1407,2277,1725,1959,3666,737660.0,-711290.0,26370.0,3.7399
25,125,1.27,100.0,127.0,7051,3787,0.537087,1408,2355,1760,2003,3744,747290.0,-730758.0,16532.0,2.3446
30,100,1.27,100.0,127.0,7051,3704,0.525316,1366,2318,1725,1959,3666,916380.0,-903338.3,13041.7,1.8496
20,150,1.0,100.0,100.0,7051,3818,0.541483,1437,2356,1743,2050,3773,786970.0,-776800.0,10170.0,1.4423
40,0,1.2,100.0,120.0,7051,3507,0.497376,1483,2008,1669,1822,3477,339220.0,-332496.0,6724.0,0.9536
30,30,1.0,100.0,100.0,7051,3704,0.525316,1486,2198,1725,1959,3666,711470.0,-711290.0,180.0,0.0255
25,125,1.3,100.0,130.0,7051,3787,0.537087,1408,2355,1760,2003,3744,747290.0,-748020.0,-730.0,-0.1035
30,100,1.3,100.0,130.0,7051,3704,0.525316,1366,2318,1725,1959,3666,916380.0,-924677.0,-8297.0,-1.1767
25,75,1.0,100.0,100.0,7051,3787,0.537087,1420,2343,1760,2003,3744,566340.0,-575400.0,-9060.0,-1.2849
30,40,1.0,100.0,100.0,7051,3704,0.525316,1432,2252,1725,1959,3666,702220.0,-711290.0,-9070.0,-1.2863
30,75,1.2,100.0,120.0,7051,3704,0.525316,1374,2310,1725,1959,3666,843230.0,-853548.0,-10318.0,-1.4633
40,0,1.27,100.0,127.0,7051,3507,0.497376,1483,2008,1669,1822,3477,339220.0,-351891.6,-12671.6,-1.7971
25,150,1.4,100.0,140.0,7051,3787,0.537087,1407,2356,1760,2003,3744,790250.0,-805560.0,-15310.0,-2.1713
40,0,1.3,100.0,130.0,7051,3507,0.497376,1483,2008,1669,1822,3477,339220.0,-360204.0,-20984.0,-2.976
30,20,1.0,100.0,100.0,7051,3704,0.525316,1558,2126,1725,1959,3666,689800.0,-711290.0,-21490.0,-3.0478
15,150,1.0,100.0,100.0,7051,3845,0.545313,1471,2349,1745,2075,3800,907680.0,-929430.0,-21750.0,-3.0847
25,100,1.2,100.0,120.0,7051,3787,0.537087,1412,2351,1760,2003,3744,664550.0,-690480.0,-25930.0,-3.6775
