entry_leg1_pct,entry_leg2_pct,entry_leg3_pct,tp_pct_of_unit,sl_pct_of_unit,days_traded,filled_legs,closed_legs,wins,losses,time_exits,win_rate_excl_time_exit,total_pips,cal_ppd
0.3,0.45,0.6,1.0,0.3,6034,10484,10484,1243,6486,2755,0.160823,-9738.15,-1.6123
0.3,0.45,0.75,1.0,0.3,6034,9923,9923,1190,6163,2570,0.161839,-9763.7183,-1.6165
0.15,0.45,0.9,0.8,0.5,6034,9724,9724,2153,4314,3257,0.332921,-9766.52,-1.617
0.15,0.3,0.45,0.5,0.3,6034,12237,12237,3809,6862,1566,0.356949,-9779.9467,-1.6192
0.15,0.3,0.9,0.2,0.5,6034,10566,10566,6967,2845,754,0.710049,-9789.0267,-1.6207
0.3,0.45,0.9,0.2,0.2,6034,9461,9461,4471,4760,230,0.484346,-9796.7867,-1.622
0.3,0.45,0.9,0.65,0.2,6034,9461,9461,1700,6617,1144,0.204401,-9801.1767,-1.6227
0.15,0.75,0.9,1.0,1.0,6034,8515,8515,1759,1923,4833,0.477729,-9858.8,-1.6323
0.15,0.45,0.75,0.2,0.2,6034,10186,10186,4872,5085,229,0.489304,-9927.1817,-1.6436
0.15,0.45,0.6,0.3,0.2,6034,10747,10747,4035,6244,468,0.392548,-9987.72,-1.6536
0.15,0.45,0.6,1.0,0.4,6034,10747,10747,1525,5693,3529,0.211277,-9990.69,-1.6541
0.15,0.3,0.6,1.0,0.8,6034,11589,11589,2195,3342,6052,0.396424,-10013.6117,-1.6579
0.15,0.3,0.6,0.2,0.3,6034,11589,11589,6603,4581,405,0.590397,-10041.575,-1.6625
0.15,0.6,0.75,0.3,0.3,6034,9538,9538,4310,4471,757,0.490832,-10080.6483,-1.669
0.15,0.3,0.45,0.4,0.3,6034,12237,12237,4625,6466,1146,0.417005,-10091.3417,-1.6708
0.3,0.75,0.9,0.8,0.4,6034,8252,8252,1596,4311,2345,0.270188,-10099.6267,-1.6721
0.3,0.75,0.9,0.65,0.3,6034,8252,8252,1847,4879,1526,0.274606,-10105.9217,-1.6732
0.15,0.3,0.9,0.4,0.4,6034,10566,10566,4477,4684,1405,0.488702,-10111.1217,-1.674
0.15,0.45,0.75,0.4,0.3,6034,10186,10186,3779,5329,1078,0.41491,-10127.495,-1.6767
0.45,0.6,0.75,0.2,0.2,6034,8433,8433,3895,4265,273,0.477328,-10167.1917,-1.6833
0.45,0.75,0.9,0.5,0.2,6034,7410,7410,1700,4928,782,0.256488,-10171.3283,-1.684
0.15,0.6,0.9,0.2,0.3,6034,9076,9076,5095,3592,389,0.586509,-10180.6283,-1.6855
0.15,0.6,0.75,0.8,0.5,6034,9538,9538,2081,4207,3250,0.330948,-10185.8733,-1.6864
0.3,0.45,0.9,0.5,0.2,6034,9461,9461,2282,6335,844,0.264825,-10212.2117,-1.6908
0.3,0.6,0.75,0.2,0.3,6034,9275,9275,5176,3688,411,0.583935,-10225.5217,-1.693
0.45,0.75,0.9,0.4,0.2,6034,7410,7410,2105,4693,612,0.30965,-10229.1783,-1.6936
