date,side,outcome,pips
2007-02-23,SELL,TIME_WIN,7.299999999999841
2007-02-26,BUY,SL,-8.312500000000455
2007-02-27,BUY,SL,-30.574999999999818
2007-02-28,BUY,TIME_WIN,79.68750000000193
2007-03-01,SELL,TP,101.85800000000052
2007-03-06,SELL,SL,-76.23750000000007
2007-03-07,SELL,TIME_WIN,80.08333333333064
2007-03-08,BUY,TP,88.6333999999996
2007-03-09,SELL,SL,-66.32500000000141
2007-03-13,BUY,SL,-16.27499999999975
2007-03-14,BUY,TP,174.59329999999704
2007-03-15,SELL,TIME_LOSS,-48.8208333333356
2007-03-16,SELL,TIME_WIN,27.000000000000114
2007-03-19,SELL,SL,-20.402500000001055
2007-03-20,SELL,TIME_WIN,31.850000000001955
2007-03-21,SELL,SL,-44.874999999999886
2007-03-23,SELL,TIME_WIN,40.449999999997544
2007-03-26,BUY,SL,-14.389999999998281
2007-03-27,SELL,TIME_WIN,7.299999999999841
2007-03-28,BUY,SL,-27.975000000001614
2007-03-29,BUY,TP,147.77674999999897
2007-03-30,SELL,TIME_LOSS,-12.07499999999959
2007-04-03,SELL,SL,-24.724999999998886
2007-04-04,SELL,TIME_LOSS,-19.08333333333394
2007-04-05,SELL,SL,-29.762499999999136
2007-04-06,SELL,SL,-36.42500000000075
2007-04-09,BUY,SL,-5.8750000000012506
2007-04-10,BUY,SL,-13.999999999999545
2007-04-13,SELL,TP,49.32694999999876
2007-04-16,BUY,TIME_WIN,37.477499999999054
2007-04-17,BUY,SL,-31.7124999999985
2007-04-18,BUY,SL,-32.03749999999934
2007-04-19,BUY,SL,-40.97500000000116
2007-04-23,SELL,SL,-11.0750000000005
2007-04-24,BUY,SL,-44.874999999999886
2007-04-25,SELL,TIME_LOSS,-26.620833333334758
2007-04-26,SELL,SL,-25.212499999998727
2007-04-27,SELL,SL,-36.26250000000175
2007-04-30,SELL,SL,-26.64249999999788
2007-05-01,SELL,TIME_WIN,7.541666666667425
2007-05-02,BUY,SL,-17.24999999999943
2007-05-03,SELL,TIME_WIN,11.824999999997999
2007-05-04,BUY,SL,-17.900000000001114
2007-05-07,SELL,TP,20.526709999997706
2007-05-08,BUY,SL,-16.92499999999859
2007-05-09,BUY,TIME_WIN,37.066666666668425
2007-05-10,SELL,SL,-22.44999999999868
2007-05-14,BUY,TP,19.571599999999535
2007-05-15,SELL,SL,-22.125000000000682
2007-05-16,SELL,SL,-33.662500000000705
2007-05-17,SELL,TIME_LOSS,-7.170833333331416
2007-05-18,SELL,SL,-17.900000000001114
2007-05-21,SELL,SL,-7.597500000000878
2007-05-22,BUY,TIME_WIN,26.35833333333062
2007-05-23,SELL,SL,-16.76249999999959
2007-05-24,BUY,SL,-21.79999999999984
2007-05-25,BUY,SL,-34.474999999998545
2007-05-28,SELL,TIME_WIN,9.291666666665833
2007-05-29,BUY,SL,-9.449999999999136
2007-05-30,BUY,TIME_LOSS,-3.908333333331825
2007-06-04,BUY,SL,-8.897499999998558
2007-06-05,SELL,SL,-15.95000000000175
2007-06-06,BUY,SL,-23.749999999999204
2007-06-07,BUY,SL,-41.29999999999916
2007-06-08,BUY,SL,-56.25000000000091
2007-06-12,SELL,TP,49.69430000000068
2007-06-13,BUY,TP,76.87819999999783
2007-06-15,SELL,SL,-23.749999999999204
2007-06-19,SELL,SL,-9.449999999999136
2007-06-28,SELL,TP,58.143350000002215
