pair,date,regime,leg_tag,side,size,entry,exit,reason,pips,weighted_pips,open_bar,close_bar
EURUSD,2018-02-16,ABOVE,SELL2,SELL,130.0,1.25478,1.24903,TP,57.5,7475.0,121423,121429
EURUSD,2018-02-17,BELOW,SELL1,SELL,100.0,1.24041,1.23731,TP,31.0,3100.0,121443,121504
EURUSD,2018-02-17,BELOW,BUY1,BUY,130.0,1.24041,1.24131,TP,9.0,1170.0,121443,121508
EURUSD,2018-02-17,BELOW,BUY2,BUY,130.0,1.24553,1.24131,TP,-42.2,-5486.0,121504,121508
EURUSD,2018-02-19,ABOVE,BUY1,BUY,100.0,1.24117,1.24014,SL,-10.3,-1030.0,121491,121498
EURUSD,2018-02-19,ABOVE,SELL1,SELL,130.0,1.24117,1.24014,TP,10.3,1339.0,121491,121498
EURUSD,2018-02-20,BELOW,SELL1,SELL,100.0,1.24001,1.2349,TP,51.1,5110.0,121515,121523
EURUSD,2018-02-20,BELOW,BUY1,BUY,130.0,1.24001,1.2389000000000001,TP,-11.1,-1443.0,121515,121862
EURUSD,2018-02-20,BELOW,BUY2,BUY,130.0,1.23349,1.2389000000000001,TP,54.1,7033.0,121525,121862
EURUSD,2018-02-21,BELOW,SELL1,SELL,100.0,1.23352,1.22999,TP,35.3,3530.0,121539,121552
EURUSD,2018-02-21,BELOW,BUY1,BUY,130.0,1.23352,1.23399,TP,4.7,611.0,121539,121558
EURUSD,2018-02-21,BELOW,BUY2,BUY,130.0,1.23106,1.23399,TP,29.3,3809.0,121552,121558
EURUSD,2018-02-22,BELOW,SELL1,SELL,100.0,1.22805,1.22534,TP,27.1,2710.0,121563,121698
EURUSD,2018-02-22,BELOW,BUY1,BUY,130.0,1.22805,1.22934,TP,12.9,1677.0,121563,121765
EURUSD,2018-02-22,BELOW,BUY2,BUY,130.0,1.22598,1.22934,TP,33.6,4368.0,121698,121765
EURUSD,2018-02-23,ABOVE,BUY1,BUY,100.0,1.23256,1.22597,SL,-65.9,-6590.0,121587,121698
EURUSD,2018-02-23,ABOVE,SELL1,SELL,130.0,1.23256,1.22597,TP,65.9,8567.0,121587,121698
EURUSD,2018-02-24,BELOW,SELL1,SELL,100.0,1.22937,1.23316,SL,-37.9,-3790.0,121611,121665
EURUSD,2018-02-24,BELOW,BUY1,BUY,130.0,1.22937,1.23316,TP,37.9,4927.0,121611,121665
EURUSD,2018-02-26,ABOVE,BUY1,BUY,100.0,1.22883,1.22809,SL,-7.4,-740.0,121659,121659
EURUSD,2018-02-26,ABOVE,SELL1,SELL,130.0,1.22883,1.22809,TP,7.4,962.0,121659,121659
EURUSD,2018-02-27,BELOW,SELL1,SELL,100.0,1.23149,1.22576,TP,57.3,5730.0,121683,121698
EURUSD,2018-02-27,BELOW,BUY1,BUY,130.0,1.23149,1.22976,TP,-17.3,-2249.0,121683,121765
EURUSD,2018-02-27,BELOW,BUY2,BUY,130.0,1.2255,1.22976,TP,42.6,5538.0,121698,121765
EURUSD,2018-02-28,BELOW,SELL1,SELL,100.0,1.22258,1.22016,TP,24.2,2420.0,121707,121715
EURUSD,2018-02-28,BELOW,BUY1,BUY,130.0,1.22258,1.22416,TP,15.8,2054.0,121707,121750
EURUSD,2018-02-28,BELOW,BUY2,BUY,130.0,1.22462,1.22416,TP,-4.6,-598.0,121715,121750
EURUSD,2018-03-01,BELOW,SELL1,SELL,100.0,1.21915,1.21678,TP,23.7,2370.0,121731,121743
EURUSD,2018-03-01,BELOW,BUY1,BUY,130.0,1.21915,1.22078,TP,16.3,2119.0,121731,121747
EURUSD,2018-03-02,ABOVE,BUY1,BUY,100.0,1.22709,1.22947,TP,23.8,2380.0,121755,121765
EURUSD,2018-03-02,ABOVE,SELL1,SELL,130.0,1.22709,1.23365,TIME_EXIT,-65.6,-8528.0,121755,122186
EURUSD,2018-03-02,ABOVE,SELL2,SELL,130.0,1.22546,1.23365,TIME_EXIT,-81.9,-10647.0,121765,122186
EURUSD,2018-03-03,ABOVE,BUY1,BUY,100.0,1.23186,1.23558,TP,37.2,3720.0,121779,121825
EURUSD,2018-03-03,ABOVE,SELL1,SELL,130.0,1.23186,1.23158,TP,2.8,364.0,121779,121826
EURUSD,2018-03-03,ABOVE,SELL2,SELL,130.0,1.23514,1.23158,TP,35.6,4628.0,121825,121826
EURUSD,2018-03-05,BELOW,SELL1,SELL,100.0,1.23176,1.22795,TP,38.1,3810.0,121827,121834
EURUSD,2018-03-05,BELOW,BUY1,BUY,130.0,1.23176,1.23195,TP,1.9,247.0,121827,121835
EURUSD,2018-03-05,BELOW,BUY2,BUY,130.0,1.22641,1.23195,TP,55.4,7202.0,122105,122175
EURUSD,2018-03-06,ABOVE,BUY1,BUY,100.0,1.23365,1.23687,TP,32.2,3220.0,121851,121862
EURUSD,2018-03-06,ABOVE,SELL1,SELL,130.0,1.23365,1.23287,TP,7.8,1014.0,121851,121914
EURUSD,2018-03-06,ABOVE,SELL2,SELL,130.0,1.23688,1.23287,TP,40.1,5213.0,121862,121914
EURUSD,2018-03-07,ABOVE,BUY1,BUY,100.0,1.24154,1.23281,SL,-87.3,-8730.0,121875,121914
EURUSD,2018-03-07,ABOVE,SELL1,SELL,130.0,1.24154,1.23281,TP,87.3,11349.0,121875,121914
EURUSD,2018-03-08,BELOW,SELL1,SELL,100.0,1.24122,1.2445,SL,-32.8,-3280.0,121899,121912
EURUSD,2018-03-08,BELOW,BUY1,BUY,130.0,1.24122,1.2445,TP,32.8,4264.0,121899,121912
EURUSD,2018-03-09,BELOW,SELL1,SELL,100.0,1.2307,1.22779,TP,29.1,2910.0,121923,121936
EURUSD,2018-03-09,BELOW,BUY1,BUY,130.0,1.2307,1.23179,TP,10.9,1417.0,121923,121938
EURUSD,2018-03-09,BELOW,BUY2,BUY,130.0,1.2346,1.23179,TP,-28.1,-3653.0,121936,121938
EURUSD,2018-03-10,ABOVE,BUY1,BUY,100.0,1.23041,1.23542,TP,50.1,5010.0,121947,122031
EURUSD,2018-03-10,ABOVE,SELL1,SELL,130.0,1.23041,1.23142,TP,-10.1,-1313.0,121947,122083
EURUSD,2018-03-10,ABOVE,SELL2,SELL,130.0,1.2373,1.23142,TP,58.8,7644.0,122031,122083
EURUSD,2018-03-12,BELOW,SELL1,SELL,100.0,1.23083,1.23133,SL,-5.0,-500.0,121995,121995
EURUSD,2018-03-12,BELOW,BUY1,BUY,130.0,1.23083,1.23133,TP,5.0,650.0,121995,121995
EURUSD,2018-03-13,ABOVE,BUY1,BUY,100.0,1.23383,1.23655,TP,27.2,2720.0,122019,122031
EURUSD,2018-03-13,ABOVE,SELL1,SELL,130.0,1.23383,1.23255,TP,12.8,1664.0,122019,122080
EURUSD,2018-03-13,ABOVE,SELL2,SELL,130.0,1.23903,1.23255,TP,64.8,8424.0,122034,122080
EURUSD,2018-03-14,ABOVE,BUY1,BUY,100.0,1.23928,1.23145,SL,-78.3,-7830.0,122043,122083
EURUSD,2018-03-14,ABOVE,SELL1,SELL,130.0,1.23928,1.23145,TP,78.3,10179.0,122043,122083
EURUSD,2018-03-15,BELOW,SELL1,SELL,100.0,1.23746,1.23271,TP,47.5,4750.0,122067,122080
EURUSD,2018-03-15,BELOW,BUY1,BUY,130.0,1.23746,1.23671,TP,-7.5,-975.0,122067,122235
EURUSD,2018-03-15,BELOW,BUY2,BUY,130.0,1.23125,1.23671,TP,54.6,7098.0,122083,122235
EURUSD,2018-03-16,BELOW,SELL1,SELL,100.0,1.23061,1.22801,TP,26.0,2600.0,122091,122104
EURUSD,2018-03-16,BELOW,BUY1,BUY,130.0,1.23061,1.23201,TP,14.0,1820.0,122091,122175
EURUSD,2018-03-16,BELOW,BUY2,BUY,130.0,1.22836,1.23201,TP,36.5,4745.0,122104,122175
EURUSD,2018-03-17,BELOW,SELL1,SELL,100.0,1.22889,1.2336,SL,-47.1,-4710.0,122115,122179
EURUSD,2018-03-17,BELOW,BUY1,BUY,130.0,1.22889,1.2336,TP,47.1,6123.0,122115,122179
EURUSD,2018-03-19,BELOW,SELL1,SELL,100.0,1.22807,1.22599,TP,20.8,2080.0,122163,122168
EURUSD,2018-03-19,BELOW,BUY1,BUY,130.0,1.22807,1.22999,TP,19.2,2496.0,122163,122173
EURUSD,2018-03-20,ABOVE,BUY1,BUY,100.0,1.23365,1.22579,SL,-78.6,-7860.0,122187,122203
EURUSD,2018-03-20,ABOVE,SELL1,SELL,130.0,1.23365,1.22579,TP,78.6,10218.0,122187,122203
EURUSD,2018-03-21,BELOW,SELL1,SELL,100.0,1.22483,1.23545,SL,-106.2,-10620.0,122211,122235
EURUSD,2018-03-21,BELOW,BUY1,BUY,130.0,1.22483,1.23545,TP,106.2,13806.0,122211,122235
EURUSD,2018-03-22,ABOVE,BUY1,BUY,100.0,1.23464,1.23699,TP,23.5,2350.0,122235,122242
EURUSD,2018-03-22,ABOVE,SELL1,SELL,130.0,1.23464,1.23299,TP,16.5,2145.0,122235,122244
EURUSD,2018-03-22,ABOVE,SELL2,SELL,130.0,1.23467,1.23299,TP,16.8,2184.0,122242,122244
EURUSD,2018-03-23,BELOW,SELL1,SELL,100.0,1.23239,1.23884,SL,-64.5,-6450.0,122259,122338
EURUSD,2018-03-23,BELOW,BUY1,BUY,130.0,1.23239,1.23884,TP,64.5,8385.0,122259,122338
EURUSD,2018-03-24,ABOVE,BUY1,BUY,100.0,1.23522,1.23933,TP,41.1,4110.0,122283,122338
EURUSD,2018-03-24,ABOVE,SELL1,SELL,130.0,1.23522,1.23533,TP,-1.1,-143.0,122283,122392
