side,bucket,bin,trades,wins,losses,avg_win_pips,avg_loss_pips,expectancy_pips,avg_r,sum_win_pips,sum_loss_pips,indicator,win_rate,rr_ratio,profit_factor
BUY,05-10%,Q2,46,44,2,5.82878787878752,36.32416666666762,3.9960507246372967,0.07506015374378558,256.4666666666509,72.64833333333524,di_plus14,0.9565217391304348,0.16046583896269334,3.530248457179254
BUY,10-15%,Q3,51,41,10,14.292682926829363,36.459000000000174,4.34137254901965,0.017020843442933285,586.0000000000039,364.59000000000174,di_plus14,0.803921568627451,0.39202070618583323,1.6072848953619163
BUY,15-20%,Q5,36,25,11,18.015999999999508,39.7898484848488,0.3531018518514141,-0.018948643087057664,450.3999999999877,437.6883333333368,di_plus14,0.6944444444444444,0.452778803791114,1.0290427358888954
BUY,20-25%,Q4,49,32,17,35.164583333333276,37.50205882352939,9.95370748299317,0.08014704069943614,1125.2666666666648,637.5349999999996,di_plus14,0.6530612244897959,0.9376707422599011,1.765027279548049
BUY,25-30%,Q3,32,18,14,34.09629629629663,43.58095238095215,0.11250000000029348,0.07900703761235127,613.7333333333394,610.13333333333,di_plus14,0.5625,0.7823669386169504,1.005900349650365
BUY,30-35%,Q1,35,19,16,45.26140350877198,32.664270833333404,9.638238095238089,0.24726642350171885,859.9666666666676,522.6283333333345,di_plus14,0.5428571428571428,1.3856547951036269,1.645465069185557
SELL,00-05%,Q4,41,35,6,1.9999999999998295,9.412777777778047,0.32983739837379883,0.004770014443188603,69.99999999999403,56.47666666666828,di_plus14,0.8536585365853658,0.21247712919787465,1.2394499203209355
SELL,05-10%,Q2,55,47,8,6.664539007091746,45.054166666666994,-0.858181818182252,-0.038646164671935365,313.2333333333121,360.43333333333595,di_plus14,0.8545454545454545,0.1479228115880891,0.8690465180800235
SELL,10-15%,Q3,50,44,6,13.846212121211817,41.14166666666791,7.247666666666248,0.10494246588631129,609.2333333333199,246.85000000000747,di_plus14,0.88,0.3365496160715754,2.4680305178582196
SELL,15-20%,Q5,49,41,8,16.65528455284541,54.938124999999815,4.966564625850269,0.18696487959030733,682.8666666666618,439.5049999999985,di_plus14,0.8367346938775511,0.30316441547368905,1.5537176293026567
SELL,20-25%,Q5,81,55,26,34.0412121212123,48.85948717948679,7.431111111111356,0.11924529901245812,1872.2666666666764,1270.3466666666566,di_plus14,0.6790123456790124,0.6967165250048754,1.4738234182795442
SELL,25-30%,Q4,68,39,29,34.02564102564072,32.10149425287398,5.824362745097692,0.10164711732191833,1326.999999999988,930.9433333333453,di_plus14,0.5735294117647058,1.0599394768857053,1.4254358482256035
SELL,30-35%,Q4,36,21,15,33.7888888888891,33.147888888888,5.898564814815305,0.30012154086700904,709.566666666671,497.21833333332,di_plus14,0.5833333333333334,1.019337581411285,1.4270726139757988
BUY,00-05%,Q1,55,44,11,3.0598484848487715,9.078181818181918,0.6322424242426337,-0.008444480758486474,134.63333333334594,99.8600000000011,di_spread14,0.8,0.33705521062824073,1.348220842512963
BUY,05-10%,Q2,37,32,5,5.9208333333329985,28.360666666667157,1.2881981981978423,-0.0016738380428850254,189.46666666665595,141.8033333333358,di_spread14,0.8648648648648649,0.2087691873721667,1.336122799181867
BUY,10-15%,Q2,56,42,14,11.057936507936144,41.90571428571427,-2.1829761904764573,-0.06235193152475505,464.4333333333181,586.6799999999997,di_spread14,0.75,0.2638765785625999,0.7916297356877997
BUY,15-20%,Q2,58,43,15,21.229457364340888,55.22511111111031,1.4567241379310976,0.060639930617348105,912.8666666666583,828.3766666666546,di_spread14,0.7413793103448276,0.3844167433475729,1.1019946642630425
BUY,20-25%,Q3,56,33,23,32.15151515151479,36.22173913043534,4.069642857142424,-0.02741769317792115,1060.9999999999882,833.1000000000128,di_spread14,0.5892857142857143,0.8876303546811054,1.2735565958468034
BUY,25-30%,Q3,39,21,18,34.14444444444467,36.29999999999992,1.6316239316240964,0.015305370417367476,717.0333333333382,653.3999999999985,di_spread14,0.5384615384615384,0.9406183042546763,1.097388021630456
BUY,30-35%,Q1,37,22,15,51.766666666666794,33.5474444444445,17.17986486486491,0.3449900762486943,1138.8666666666695,503.21166666666755,di_spread14,0.5945945945945946,1.5430882299363766,2.2631960705733523
SELL,00-05%,Q4,45,37,8,1.81171171171172,7.147916666666653,0.21888888888889824,0.00240903608773782,67.03333333333364,57.18333333333322,di_spread14,0.8222222222222222,0.2534601053983175,1.1722529874672185
SELL,05-10%,Q2,42,37,5,7.07837837837839,42.76266666666692,1.1449206349206154,-0.008404895665610689,261.90000000000043,213.81333333333458,di_spread14,0.8809523809523809,0.16552705736417314,1.2249002244948815
SELL,10-15%,Q3,51,45,6,13.411111111111016,46.67194444444406,6.342516339869242,0.11408094277622141,603.4999999999957,280.03166666666436,di_spread14,0.8823529411764706,0.287348454639059,2.1551134097929423
SELL,15-20%,Q5,45,37,8,16.43693693693675,54.938124999999815,3.748037037036915,0.1612669361736221,608.1666666666597,439.5049999999985,di_spread14,0.8222222222222222,0.29918998758943455,1.383753692601135
SELL,20-25%,Q1,63,43,20,31.336434108527534,53.38975000000005,4.439232804233071,0.11479194991073802,1347.466666666684,1067.795000000001,di_spread14,0.6825396825396826,0.5869372699540175,1.2619151304011376
SELL,25-30%,Q3,74,40,34,36.32749999999953,32.75970588235265,4.584729729729614,0.04812963719643163,1453.0999999999813,1113.82999999999,di_spread14,0.5405405405405406,1.108908002118811,1.3045976495515423
SELL,30-35%,Q4,37,21,16,37.56349206349232,39.84145833333292,4.091081081081401,0.2994865813932596,788.8333333333387,637.4633333333268,di_spread14,0.5675675675675675,0.9428242246862041,1.237456794900643
BUY,00-05%,Q1,34,20,14,1.5216666666665333,0.4476190476191846,0.7107843137253553,0.01127404946848237,30.433333333330665,6.266666666668584,donchian_width20,0.5882352941176471,3.399468085105045,4.856382978721492
BUY,05-10%,Q3,39,34,5,6.20490196078383,29.537666666666723,1.6225213675209382,-0.02278749645765154,210.9666666666502,147.68833333333362,donchian_width20,0.8717948717948718,0.21006743798710634,1.4284585783123231
BUY,10-15%,Q5,57,46,11,21.921739130434744,48.917121212120534,8.251081871345129,0.02255375883605111,1008.3999999999983,538.0883333333259,donchian_width20,0.8070175438596491,0.44814041765407575,1.8740417465534078
BUY,15-20%,Q4,67,46,21,21.58043478260848,59.67071428571458,-3.886343283582333,-0.02232492455084741,992.6999999999902,1253.0850000000062,donchian_width20,0.6865671641791045,0.3616587306006982,0.7922048384586722
BUY,20-25%,Q3,56,36,20,28.340740740740756,38.9124166666665,4.321755952381021,0.06377343007063262,1020.2666666666672,778.24833333333,donchian_width20,0.6428571428571429,0.7283212703933203,1.3109782867079764
